"Restaurants","56101"
"Hotel-restaurants","55101"
"Hotels (geen hotel-restaurants) pensions en conferentie-oorden"","55102"
"Financiële holdings","6420"
"Kampeerterreinen","5530"
"Administratiekantoren voor aandelen en obligaties","66191"
"Winkels in dameskleding","47712"
"Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of psychiatrie)","86221"
"Organisatie-adviesbureaus","70221"
"Gespecialiseerde groothandel in overige voedings- en genotmiddelen n.e.g.","46383"
"Niet-gespecialiseerde groothandel in consumentenartikelen","46901"
"Winkels in buitenlandse voedingsmiddelen","47293"
"Groothandel in textielwaren algemeen assortiment","46429"
"Beleggingsinstellingen met beperkte toetreding","64303"
